0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
2014.0,7.0,8.0,73.94,78.98,86.0,0.0,0.0,73.04,79.34,86.0,0.0,8.0,73.94,79.7,86.0,0.0,0.0,75.92,80.78,89.06,0.0,0.0,77.0,81.68,87.98,0.0,0.0,75.92,80.42,87.08000000000001,0.0,0.0,75.92,80.42,87.08000000000001,0.0,0.0,73.94,79.52,86.0,0.0,0.0,71.96,78.62,87.08000000000001,0.0,0.0,71.06,77.72,84.91999999999999,0.0,48.0,73.94,79.16,87.08000000000001,0.0,0.0,75.02,79.88,86.0,0.0,0.0,69.98,77.72,84.91999999999999,0.0,15.0,71.96,78.25999999999999,86.0,0.0,0.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,73.94,80.24000000000001,87.98,75.02,81.32,89.06,75.02,80.96,87.98,75.92,81.14,89.06
2014.0,7.0,9.0,73.04,79.34,86.0,0.0,8.0,73.94,79.7,86.0,0.0,0.0,75.92,80.78,89.06,0.0,0.0,77.0,81.68,87.98,0.0,0.0,75.92,80.42,87.08000000000001,0.0,0.0,75.92,80.42,87.08000000000001,0.0,0.0,73.94,79.52,86.0,0.0,0.0,71.96,78.62,87.08000000000001,0.0,0.0,71.06,77.72,84.91999999999999,0.0,48.0,73.94,79.16,87.08000000000001,0.0,0.0,75.02,79.88,86.0,0.0,0.0,69.98,77.72,84.91999999999999,0.0,15.0,71.96,78.25999999999999,86.0,0.0,0.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,75.02,81.32,89.06,75.02,80.96,87.98,75.92,81.14,89.06,73.94,80.96,89.96000000000001
2014.0,7.0,10.0,73.94,79.7,86.0,0.0,0.0,75.92,80.78,89.06,0.0,0.0,77.0,81.68,87.98,0.0,0.0,75.92,80.42,87.08000000000001,0.0,0.0,75.92,80.42,87.08000000000001,0.0,0.0,73.94,79.52,86.0,0.0,0.0,71.96,78.62,87.08000000000001,0.0,0.0,71.06,77.72,84.91999999999999,0.0,48.0,73.94,79.16,87.08000000000001,0.0,0.0,75.02,79.88,86.0,0.0,0.0,69.98,77.72,84.91999999999999,0.0,15.0,71.96,78.25999999999999,86.0,0.0,0.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,75.02,80.96,87.98,75.92,81.14,89.06,73.94,80.96,89.96000000000001,78.98,82.58,87.08000000000001
2014.0,7.0,11.0,75.92,80.78,89.06,0.0,0.0,77.0,81.68,87.98,0.0,0.0,75.92,80.42,87.08000000000001,0.0,0.0,75.92,80.42,87.08000000000001,0.0,0.0,73.94,79.52,86.0,0.0,0.0,71.96,78.62,87.08000000000001,0.0,0.0,71.06,77.72,84.91999999999999,0.0,48.0,73.94,79.16,87.08000000000001,0.0,0.0,75.02,79.88,86.0,0.0,0.0,69.98,77.72,84.91999999999999,0.0,15.0,71.96,78.25999999999999,86.0,0.0,0.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,75.92,81.14,89.06,73.94,80.96,89.96000000000001,78.98,82.58,87.08000000000001,78.08,81.86,89.96000000000001
2014.0,7.0,12.0,77.0,81.68,87.98,0.0,0.0,75.92,80.42,87.08000000000001,0.0,0.0,75.92,80.42,87.08000000000001,0.0,0.0,73.94,79.52,86.0,0.0,0.0,71.96,78.62,87.08000000000001,0.0,0.0,71.06,77.72,84.91999999999999,0.0,48.0,73.94,79.16,87.08000000000001,0.0,0.0,75.02,79.88,86.0,0.0,0.0,69.98,77.72,84.91999999999999,0.0,15.0,71.96,78.25999999999999,86.0,0.0,0.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,0.0,0.0,75.92,81.14,89.06,73.94,80.96,89.96000000000001,78.98,82.58,87.08000000000001,78.08,81.86,89.96000000000001,78.08,82.4,89.06
2014.0,7.0,13.0,75.92,80.42,87.08000000000001,0.0,0.0,75.92,80.42,87.08000000000001,0.0,0.0,73.94,79.52,86.0,0.0,0.0,71.96,78.62,87.08000000000001,0.0,0.0,71.06,77.72,84.91999999999999,0.0,48.0,73.94,79.16,87.08000000000001,0.0,0.0,75.02,79.88,86.0,0.0,0.0,69.98,77.72,84.91999999999999,0.0,15.0,71.96,78.25999999999999,86.0,0.0,0.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,3.0,73.94,80.96,89.96000000000001,78.98,82.58,87.08000000000001,78.08,81.86,89.96000000000001,78.08,82.4,89.06,75.92,79.88,87.98
2014.0,7.0,14.0,75.92,80.42,87.08000000000001,0.0,0.0,73.94,79.52,86.0,0.0,0.0,71.96,78.62,87.08000000000001,0.0,0.0,71.06,77.72,84.91999999999999,0.0,48.0,73.94,79.16,87.08000000000001,0.0,0.0,75.02,79.88,86.0,0.0,0.0,69.98,77.72,84.91999999999999,0.0,15.0,71.96,78.25999999999999,86.0,0.0,0.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,3.0,73.94,80.96,89.96000000000001,0.0,0.0,78.98,82.58,87.08000000000001,78.08,81.86,89.96000000000001,78.08,82.4,89.06,75.92,79.88,87.98,75.92,80.96,87.98
2014.0,7.0,15.0,73.94,79.52,86.0,0.0,0.0,71.96,78.62,87.08000000000001,0.0,0.0,71.06,77.72,84.91999999999999,0.0,48.0,73.94,79.16,87.08000000000001,0.0,0.0,75.02,79.88,86.0,0.0,0.0,69.98,77.72,84.91999999999999,0.0,15.0,71.96,78.25999999999999,86.0,0.0,0.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,3.0,73.94,80.96,89.96000000000001,0.0,0.0,78.98,82.58,87.08000000000001,0.0,0.0,78.08,81.86,89.96000000000001,78.08,82.4,89.06,75.92,79.88,87.98,75.92,80.96,87.98,75.92,81.14,89.06
2014.0,7.0,16.0,71.96,78.62,87.08000000000001,0.0,0.0,71.06,77.72,84.91999999999999,0.0,48.0,73.94,79.16,87.08000000000001,0.0,0.0,75.02,79.88,86.0,0.0,0.0,69.98,77.72,84.91999999999999,0.0,15.0,71.96,78.25999999999999,86.0,0.0,0.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,3.0,73.94,80.96,89.96000000000001,0.0,0.0,78.98,82.58,87.08000000000001,0.0,0.0,78.08,81.86,89.96000000000001,0.0,0.0,78.08,82.4,89.06,75.92,79.88,87.98,75.92,80.96,87.98,75.92,81.14,89.06,71.96,79.52,86.0
2014.0,7.0,17.0,71.06,77.72,84.91999999999999,0.0,48.0,73.94,79.16,87.08000000000001,0.0,0.0,75.02,79.88,86.0,0.0,0.0,69.98,77.72,84.91999999999999,0.0,15.0,71.96,78.25999999999999,86.0,0.0,0.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,3.0,73.94,80.96,89.96000000000001,0.0,0.0,78.98,82.58,87.08000000000001,0.0,0.0,78.08,81.86,89.96000000000001,0.0,0.0,78.08,82.4,89.06,0.0,3.0,75.92,79.88,87.98,75.92,80.96,87.98,75.92,81.14,89.06,71.96,79.52,86.0,75.92,81.14,87.08000000000001
2014.0,7.0,18.0,73.94,79.16,87.08000000000001,0.0,0.0,75.02,79.88,86.0,0.0,0.0,69.98,77.72,84.91999999999999,0.0,15.0,71.96,78.25999999999999,86.0,0.0,0.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,3.0,73.94,80.96,89.96000000000001,0.0,0.0,78.98,82.58,87.08000000000001,0.0,0.0,78.08,81.86,89.96000000000001,0.0,0.0,78.08,82.4,89.06,0.0,3.0,75.92,79.88,87.98,0.0,3.0,75.92,80.96,87.98,75.92,81.14,89.06,71.96,79.52,86.0,75.92,81.14,87.08000000000001,78.08,82.04,89.96000000000001
2014.0,7.0,19.0,75.02,79.88,86.0,0.0,0.0,69.98,77.72,84.91999999999999,0.0,15.0,71.96,78.25999999999999,86.0,0.0,0.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,3.0,73.94,80.96,89.96000000000001,0.0,0.0,78.98,82.58,87.08000000000001,0.0,0.0,78.08,81.86,89.96000000000001,0.0,0.0,78.08,82.4,89.06,0.0,3.0,75.92,79.88,87.98,0.0,3.0,75.92,80.96,87.98,0.0,0.0,75.92,81.14,89.06,71.96,79.52,86.0,75.92,81.14,87.08000000000001,78.08,82.04,89.96000000000001,77.0,82.04,89.06
2014.0,7.0,20.0,69.98,77.72,84.91999999999999,0.0,15.0,71.96,78.25999999999999,86.0,0.0,0.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,3.0,73.94,80.96,89.96000000000001,0.0,0.0,78.98,82.58,87.08000000000001,0.0,0.0,78.08,81.86,89.96000000000001,0.0,0.0,78.08,82.4,89.06,0.0,3.0,75.92,79.88,87.98,0.0,3.0,75.92,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,28.0,71.96,79.52,86.0,75.92,81.14,87.08000000000001,78.08,82.04,89.96000000000001,77.0,82.04,89.06,77.0,81.68,87.98
2014.0,7.0,21.0,71.96,78.25999999999999,86.0,0.0,0.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,3.0,73.94,80.96,89.96000000000001,0.0,0.0,78.98,82.58,87.08000000000001,0.0,0.0,78.08,81.86,89.96000000000001,0.0,0.0,78.08,82.4,89.06,0.0,3.0,75.92,79.88,87.98,0.0,3.0,75.92,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,28.0,71.96,79.52,86.0,0.0,218.0,75.92,81.14,87.08000000000001,78.08,82.04,89.96000000000001,77.0,82.04,89.06,77.0,81.68,87.98,75.92,81.32,87.98
2014.0,7.0,22.0,73.04,78.8,87.08000000000001,0.0,0.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,3.0,73.94,80.96,89.96000000000001,0.0,0.0,78.98,82.58,87.08000000000001,0.0,0.0,78.08,81.86,89.96000000000001,0.0,0.0,78.08,82.4,89.06,0.0,3.0,75.92,79.88,87.98,0.0,3.0,75.92,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,28.0,71.96,79.52,86.0,0.0,218.0,75.92,81.14,87.08000000000001,0.0,0.0,78.08,82.04,89.96000000000001,77.0,82.04,89.06,77.0,81.68,87.98,75.92,81.32,87.98,73.94,81.68,89.96000000000001
2014.0,7.0,23.0,71.96,78.44,84.91999999999999,0.0,41.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,3.0,73.94,80.96,89.96000000000001,0.0,0.0,78.98,82.58,87.08000000000001,0.0,0.0,78.08,81.86,89.96000000000001,0.0,0.0,78.08,82.4,89.06,0.0,3.0,75.92,79.88,87.98,0.0,3.0,75.92,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,28.0,71.96,79.52,86.0,0.0,218.0,75.92,81.14,87.08000000000001,0.0,0.0,78.08,82.04,89.96000000000001,0.0,0.0,77.0,82.04,89.06,77.0,81.68,87.98,75.92,81.32,87.98,73.94,81.68,89.96000000000001,77.0,82.04,89.06
2014.0,7.0,24.0,73.94,79.52,87.98,0.0,0.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,3.0,73.94,80.96,89.96000000000001,0.0,0.0,78.98,82.58,87.08000000000001,0.0,0.0,78.08,81.86,89.96000000000001,0.0,0.0,78.08,82.4,89.06,0.0,3.0,75.92,79.88,87.98,0.0,3.0,75.92,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,28.0,71.96,79.52,86.0,0.0,218.0,75.92,81.14,87.08000000000001,0.0,0.0,78.08,82.04,89.96000000000001,0.0,0.0,77.0,82.04,89.06,0.0,0.0,77.0,81.68,87.98,75.92,81.32,87.98,73.94,81.68,89.96000000000001,77.0,82.04,89.06,78.08,82.22,89.96000000000001
2014.0,7.0,25.0,73.94,80.24000000000001,87.08000000000001,0.0,8.0,71.96,79.34,86.0,0.0,13.0,73.94,79.16,87.08000000000001,0.0,0.0,73.04,78.8,86.0,0.0,10.0,73.94,78.62,89.06,0.0,3.0,73.04,81.14,87.98,0.0,0.0,75.02,80.78,87.98,0.0,0.0,75.92,80.96,89.06,0.0,0.0,75.02,80.96,89.06,0.0,10.0,75.92,81.5,87.98,0.0,0.0,75.02,80.24000000000001,86.0,0.0,0.0,73.94,79.16,87.98,0.0,3.0,73.94,79.34,87.08000000000001,0.0,3.0,75.92,80.42,89.06,0.0,0.0,73.94,80.24000000000001,87.98,0.0,0.0,75.02,81.32,89.06,0.0,0.0,75.02,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,3.0,73.94,80.96,89.96000000000001,0.0,0.0,78.98,82.58,87.08000000000001,0.0,0.0,78.08,81.86,89.96000000000001,0.0,0.0,78.08,82.4,89.06,0.0,3.0,75.92,79.88,87.98,0.0,3.0,75.92,80.96,87.98,0.0,0.0,75.92,81.14,89.06,0.0,28.0,71.96,79.52,86.0,0.0,218.0,75.92,81.14,87.08000000000001,0.0,0.0,78.08,82.04,89.96000000000001,0.0,0.0,77.0,82.04,89.06,0.0,0.0,77.0,81.68,87.98,0.0,0.0,75.92,81.32,87.98,73.94,81.68,89.96000000000001,77.0,82.04,89.06,78.08,82.22,89.96000000000001,77.0,82.04,89.06
